time_sec,lat_deg,lon_deg,alt_agl_m,u_mps,v_mps,w_mps,true_airspeed_mps,ground_speed_mps,pitch_deg,roll_deg,yaw_deg,p_rad_sec,q_rad_sec,r_rad_sec,ax_mps2,ay_mps2,az_mps2,alpha_deg,beta_deg,qbar_pa,thrust_n,mach
8.540000000,35.000083500,138.999524819,224.504138,5.372994,0.000000,11.360094,14.102877,5.372994,-64.687214,0.000000,-82.612160,0.000000,0.000000,0.000000,-2.890159,0.000000,5.907668,0.000000,0.000000,0.000000,0.000000,0.000000
8.550000000,35.000083562,138.999524238,224.389949,5.344130,0.000000,11.418883,14.133230,5.344130,-64.920023,0.000000,-82.597860,0.000000,0.000000,0.000000,-2.886360,0.000000,5.878841,0.000000,0.000000,0.000000,0.000000,0.000000
8.560000000,35.000083623,138.999523660,224.275175,5.315305,0.000000,11.477383,14.163608,5.315305,-65.150617,0.000000,-82.583424,0.000000,0.000000,0.000000,-2.882537,0.000000,5.850017,0.000000,0.000000,0.000000,0.000000,0.000000
8.570000000,35.000083685,138.999523085,224.159819,5.286518,0.000000,11.535595,14.194010,5.286518,-65.379022,0.000000,-82.568850,0.000000,0.000000,0.000000,-2.878689,0.000000,5.821199,0.000000,0.000000,0.000000,0.000000,0.000000
8.580000000,35.000083746,138.999522513,224.043884,5.257769,0.000000,11.593519,14.224431,5.257769,-65.605264,0.000000,-82.554136,0.000000,0.000000,0.000000,-2.874816,0.000000,5.792387,0.000000,0.000000,0.000000,0.000000,0.000000
8.590000000,35.000083807,138.999521945,223.927372,5.229060,0.000000,11.651155,14.254867,5.229060,-65.829368,0.000000,-82.539281,0.000000,0.000000,0.000000,-2.870916,0.000000,5.763584,0.000000,0.000000,0.000000,0.000000,0.000000
8.600000000,35.000083868,138.999521379,223.810287,5.200390,0.000000,11.708503,14.285315,5.200390,-66.051362,0.000000,-82.524282,0.000000,0.000000,0.000000,-2.866990,0.000000,5.734790,0.000000,0.000000,0.000000,0.000000,0.000000
8.610000000,35.000083928,138.999520817,223.692632,5.171759,0.000000,11.765563,14.315771,5.171759,-66.271269,0.000000,-82.509138,0.000000,0.000000,0.000000,-2.863037,0.000000,5.706008,0.000000,0.000000,0.000000,0.000000,0.000000
8.620000000,35.000083989,138.999520258,223.574408,5.143169,0.000000,11.822335,14.346232,5.143169,-66.489115,0.000000,-82.493846,0.000000,0.000000,0.000000,-2.859055,0.000000,5.677239,0.000000,0.000000,0.000000,0.000000,0.000000
8.630000000,35.000084049,138.999519702,223.455620,5.114618,0.000000,11.878820,14.376694,5.114618,-66.704924,0.000000,-82.478405,0.000000,0.000000,0.000000,-2.855046,0.000000,5.648484,0.000000,0.000000,0.000000,0.000000,0.000000
8.640000000,35.000084109,138.999519149,223.336270,5.086108,0.000000,11.935017,14.407155,5.086108,-66.918722,0.000000,-82.462812,0.000000,0.000000,0.000000,-2.851007,0.000000,5.619746,0.000000,0.000000,0.000000,0.000000,0.000000
8.650000000,35.000084168,138.999518599,223.216361,5.057638,0.000000,11.990928,14.437610,5.057638,-67.130531,0.000000,-82.447066,0.000000,0.000000,0.000000,-2.846939,0.000000,5.591025,0.000000,0.000000,0.000000,0.000000,0.000000
8.660000000,35.000084228,138.999518052,223.095895,5.029209,0.000000,12.046551,14.468057,5.029209,-67.340377,0.000000,-82.431165,0.000000,0.000000,0.000000,-2.842842,0.000000,5.562323,0.000000,0.000000,0.000000,0.000000,0.000000
8.670000000,35.000084287,138.999517509,222.974876,5.000822,0.000000,12.101887,14.498493,5.000822,-67.548283,0.000000,-82.415106,0.000000,0.000000,0.000000,-2.838714,0.000000,5.533643,0.000000,0.000000,0.000000,0.000000,0.000000
8.680000000,35.000084346,138.999516968,222.853307,4.972476,0.000000,12.156937,14.528914,4.972476,-67.754271,0.000000,-82.398887,0.000000,0.000000,0.000000,-2.834555,0.000000,5.504984,0.000000,0.000000,0.000000,0.000000,0.000000
