speed_mps,dir_deg,ballistic_lat,ballistic_lon,parachute_lat,parachute_lon
0.0000,279.0000,40.247737427,139.970539121,40.245965503,139.985757654
1.0000,279.0000,40.247617055,139.971524604,40.245280236,139.991434365
2.0000,279.0000,40.247482767,139.972623239,40.244567267,139.997338785
3.0000,279.0000,40.247334051,139.973839135,40.243828656,140.003453778
4.0000,279.0000,40.247170516,139.975175421,40.243066654,140.009760629
5.0000,279.0000,40.246991926,139.976633979,40.242284840,140.016229644
6.0000,279.0000,40.246798227,139.978215192,40.241484560,140.022849614
7.0000,279.0000,40.246589600,139.979917540,40.240669353,140.029591191
8.0000,279.0000,40.246366527,139.981737060,40.239852047,140.036348240
1.0000,324.0000,40.246715949,139.971045309,40.242225970,139.989078551
2.0000,324.0000,40.245652736,139.971635739,40.238397365,139.992508351
3.0000,324.0000,40.244552215,139.972312312,40.234494249,139.996036632
4.0000,324.0000,40.243420062,139.973075790,40.230532802,139.999649472
5.0000,324.0000,40.242263218,139.973925550,40.226530371,140.003331773
6.0000,324.0000,40.241089819,139.974859356,40.222505150,140.007069437
7.0000,324.0000,40.239909016,139.975873194,40.218476413,140.010844584
8.0000,324.0000,40.238730674,139.976961197,40.214532628,140.014574580
1.0000,9.0000,40.246434814,139.970300996,40.241418570,139.984831385
2.0000,9.0000,40.245132295,139.970133198,40.236887600,139.983944137
3.0000,9.0000,40.243838286,139.970035869,40.232392564,139.983099634
4.0000,9.0000,40.242560784,139.970008062,40.227953014,139.982301306
5.0000,9.0000,40.241307177,139.970048111,40.223587724,139.981551444
6.0000,9.0000,40.240084079,139.970153455,40.219314395,139.980853404
7.0000,9.0000,40.238897223,139.970320887,40.215149768,139.980207298
8.0000,9.0000,40.237751430,139.970546723,40.211108900,139.979615619
1.0000,54.0000,40.246910839,139.969735588,40.243259970,139.981239079
2.0000,54.0000,40.246110378,139.969025980,40.240632307,139.976890135
3.0000,54.0000,40.245338305,139.968407713,40.238090646,139.972721679
4.0000,54.0000,40.244596299,139.967877370,40.235641854,139.968744048
5.0000,54.0000,40.243885507,139.967431093,40.233291918,139.964963562
6.0000,54.0000,40.243206640,139.967064726,40.231045498,139.961388307
7.0000,54.0000,40.242560048,139.966773885,40.228906643,139.958021245
8.0000,54.0000,40.241945790,139.966554072,40.226878261,139.954865785
1.0000,99.0000,40.247844513,139.969661699,40.246621507,139.980321671
2.0000,99.0000,40.247938819,139.968888266,40.247247006,139.975136807
3.0000,99.0000,40.248020949,139.968213948,40.247840988,139.970211536
4.0000,99.0000,40.248091563,139.967633415,40.248402633,139.965552750
5.0000,99.0000,40.248151331,139.967141239,40.248931471,139.961164437
6.0000,99.0000,40.248200931,139.966731946,40.249427300,139.957048368
7.0000,99.0000,40.248241033,139.966400100,40.249890099,139.953204813
8.0000,99.0000,40.248272285,139.966140448,40.250319985,139.949632902
1.0000,144.0000,40.248713940,139.970114184,40.249602580,139.982556881
2.0000,144.0000,40.249643161,139.969767636,40.253125363,139.979485378
3.0000,144.0000,40.250523566,139.969496107,40.256523603,139.976550206
4.0000,144.0000,40.251354385,139.969295672,40.259788490,139.973757705
5.0000,144.0000,40.252135456,139.969162208,40.262912430,139.971113715
6.0000,144.0000,40.252867103,139.969091489,40.265889566,139.968621252
7.0000,144.0000,40.253550050,139.969079217,40.268715093,139.966283582
8.0000,144.0000,40.254185316,139.969121104,40.271385524,139.964102149
1.0000,189.0000,40.249031560,139.970846318,40.250508012,139.986719531
2.0000,189.0000,40.250308775,139.971220259,40.255025839,139.987712706
3.0000,189.0000,40.251561045,139.971657622,40.259499120,139.988731900
4.0000,189.0000,40.252781006,139.972154226,40.263908561,139.989772456
5.0000,189.0000,40.253962042,139.972705454,40.268235669,139.990828955
6.0000,189.0000,40.255098487,139.973306160,40.272463006,139.991896692
7.0000,189.0000,40.256185668,139.973950945,40.276574452,139.992970401
8.0000,189.0000,40.257219890,139.974634333,40.280555062,139.994045623
1.0000,234.0000,40.248587237,139.971438347,40.248739814,139.990432442
2.0000,234.0000,40.249456482,139.972434787,40.251572784,139.995247366
3.0000,234.0000,40.250340492,139.973528430,40.254453110,140.000185907
4.0000,234.0000,40.251233689,139.974717673,40.257368478,140.005229707
5.0000,234.0000,40.252129627,139.975999075,40.260306027,140.010356703
6.0000,234.0000,40.253021109,139.977367169,40.263247513,140.015538379
7.0000,234.0000,40.253900404,139.978814382,40.266189468,140.020769179
8.0000,234.0000,40.254759550,139.980331083,40.269092017,140.025979221
