time,thrust
0.01,0.622109
0.02,13.686406
0.03,121.933434
0.04,155.527344
0.05,210.895065
0.06,260.663818
0.07,326.607422
0.08,407.481628
0.09,448.540833
0.1,494.576935
0.11,561.764771
0.12,641.394714
0.13,681.831848
0.14,740.31012
0.15,846.690857
0.16,940.007263
0.17,1039.544678
0.18,1055.097412
0.19,1068.161743
0.2,1109.220947
0.21,1124.151611
0.22,1167.699219
0.23,1173.298218
0.24,1206.89209
0.25,1231.154419
0.26,1243.596558
0.27,1268.480957
0.28,1291.499023
0.29,1303.319092
0.3,1311.406494
0.31,1332.558228
0.32,1354.332031
0.33,1351.843628
0.34,1375.483765
0.35,1399.123901
0.36,1379.216431
0.37,1387.926025
0.38,1399.123901
0.39,1396.013428
0.4,1410.321899
0.41,1406.589233
0.42,1431.473633
0.43,1423.38623
0.44,1428.363037
0.45,1424.008301
0.46,1409.077637
0.47,1432.717896
0.48,1414.676636
0.49,1420.897705
0.5,1414.054565
0.51,1412.188232
0.52,1431.473633
0.53,1428.985229
0.54,1406.589233
0.55,1406.589233
0.56,1414.676636
0.57,1421.519897
0.58,1422.764038
0.59,1416.542969
0.6,1422.764038
0.61,1434.584229
0.62,1413.432495
0.63,1425.252563
0.64,1404.10083
0.65,1409.077637
0.66,1415.298828
0.67,1416.542969
0.68,1410.321899
0.69,1409.699829
0.7,1394.147095
0.71,1409.699829
0.72,1413.432495
0.73,1407.833496
0.74,1392.280762
0.75,1390.414429
0.76,1396.635498
0.77,1403.47876
0.78,1426.496704
0.79,1391.036499
0.8,1389.170166
0.81,1410.94397
0.82,1399.123901
0.83,1386.059692
0.84,1408.455566
0.85,1393.524902
0.86,1388.548096
0.87,1399.746094
0.88,1381.082764
0.89,1388.548096
0.9,1410.94397
0.91,1394.769165
0.92,1361.175293
0.93,1385.4375
0.94,1400.368164
0.95,1394.769165
0.96,1387.926025
0.97,1381.082764
0.98,1371.751099
0.99,1377.350098
1,1387.303833
1.01,1389.792236
1.02,1359.30896
1.03,1371.129028
1.04,1366.774292
1.05,1387.303833
1.06,1377.350098
1.07,1363.663696
1.08,1349.355225
1.09,1382.327026
1.1,1349.355225
1.11,1379.216431
1.12,1357.442627
1.13,1373.617432
1.14,1376.105835
1.15,1372.373291
1.16,1353.087891
1.17,1358.686768
1.18,1368.018433
1.19,1343.134155
1.2,1358.686768
1.21,1347.488892
1.22,1343.756226
1.23,1351.221558
1.24,1335.046631
1.25,1361.797363
1.26,1345.000366
1.27,1338.779297
1.28,1353.087891
1.29,1356.198364
1.3,1343.756226
1.31,1337.535156
1.32,1363.041626
1.33,1327.581421
1.34,1349.355225
1.35,1343.756226
1.36,1323.226563
1.37,1341.889893
1.38,1366.774292
1.39,1340.02356
1.4,1337.535156
1.41,1326.959229
1.42,1324.470825
1.43,1326.337158
1.44,1341.267822
1.45,1331.313965
1.46,1347.488892
1.47,1330.691895
1.48,1338.157227
1.49,1329.447632
1.5,1336.290894
1.51,1332.558228
1.52,1332.558228
1.53,1328.825562
1.54,1328.203491
1.55,1323.226563
1.56,1318.249756
1.57,1323.848755
1.58,1323.226563
1.59,1321.360229
1.6,1323.848755
1.61,1311.406494
1.62,1332.558228
1.63,1307.673828
1.64,1305.807495
1.65,1328.825562
1.66,1321.360229
1.67,1330.069824
1.68,1315.76123
1.69,1328.203491
1.7,1338.779297
1.71,1333.80249
1.72,1315.76123
1.73,1314.51709
1.74,1331.936157
1.75,1321.360229
1.76,1314.51709
1.77,1325.092896
1.78,1343.134155
1.79,1303.319092
1.8,1310.162354
1.81,1308.918091
1.82,1313.272827
1.83,1297.720093
1.84,1318.249756
1.85,1320.116089
1.86,1297.098022
1.87,1305.807495
1.88,1313.894897
1.89,1300.830688
1.9,1307.051758
1.91,1322.604492
1.92,1317.005493
1.93,1312.028687
1.94,1304.563354
1.95,1308.296021
1.96,1323.226563
1.97,1324.470825
1.98,1313.894897
1.99,1311.406494
2,1327.581421
2.01,1328.825562
2.02,1335.668823
2.03,1313.894897
2.04,1292.121094
2.05,1311.406494
2.06,1302.697021
2.07,1337.535156
2.08,1332.558228
2.09,1306.429688
2.1,1317.627563
2.11,1324.470825
2.12,1341.267822
2.13,1319.493896
2.14,1314.51709
2.15,1319.493896
2.16,1315.13916
2.17,1313.894897
2.18,1303.319092
2.19,1307.051758
2.2,1315.76123
2.21,1307.673828
2.22,1302.074829
2.23,1305.807495
2.24,1309.540161
2.25,1323.226563
2.26,1314.51709
2.27,1343.134155
2.28,1310.162354
2.29,1303.319092
2.3,1329.447632
2.31,1307.051758
2.32,1311.406494
2.33,1298.342163
2.34,1319.493896
2.35,1325.715088
2.36,1311.406494
2.37,1303.941162
2.38,1315.76123
2.39,1321.360229
2.4,1318.871826
2.41,1311.406494
2.42,1294.609619
2.43,1315.13916
2.44,1314.51709
2.45,1297.720093
2.46,1311.406494
2.47,1320.738159
2.48,1322.604492
2.49,1309.540161
2.5,1324.470825
2.51,1312.028687
2.52,1316.383423
2.53,1307.673828
2.54,1306.429688
2.55,1306.429688
2.56,1285.900024
2.57,1284.655762
2.58,1296.475952
2.59,1305.807495
2.6,1284.655762
2.61,1265.370483
2.62,1315.76123
2.63,1313.272827
2.64,1283.411621
2.65,1292.121094
2.66,1295.85376
2.67,1302.074829
2.68,1312.650757
2.69,1285.277954
2.7,1306.429688
2.71,1315.13916
2.72,1307.051758
2.73,1303.319092
2.74,1307.673828
2.75,1317.627563
2.76,1278.434692
2.77,1300.830688
2.78,1317.627563
2.79,1303.319092
2.8,1304.563354
2.81,1279.678955
2.82,1290.876953
2.83,1274.079956
2.84,1295.85376
2.85,1282.789429
2.86,1300.830688
2.87,1284.033691
2.88,1283.411621
2.89,1291.499023
2.9,1281.545288
2.91,1280.923218
2.92,1284.033691
2.93,1292.743286
2.94,1289.01062
2.95,1279.056885
2.96,1282.789429
2.97,1284.655762
2.98,1282.167358
2.99,1284.033691
3,1296.475952
3.01,1297.098022
3.02,1278.434692
3.03,1285.277954
3.04,1281.545288
3.05,1295.85376
3.06,1284.033691
3.07,1264.126221
3.08,1253.550293
3.09,1274.702026
3.1,1252.928223
3.11,1257.282959
3.12,1268.480957
3.13,1269.72522
3.14,1280.923218
3.15,1269.103027
3.16,1272.213623
3.17,1274.079956
3.18,1271.591553
3.19,1259.771484
3.2,1272.213623
3.21,1277.812622
3.22,1273.457886
3.23,1257.905151
3.24,1267.858887
3.25,1280.923218
3.26,1265.992554
3.27,1261.015625
3.28,1257.282959
3.29,1241.730225
3.3,1267.236694
3.31,1261.637817
3.32,1262.259888
3.33,1263.50415
3.34,1253.550293
3.35,1256.660889
3.36,1261.015625
3.37,1249.817749
3.38,1271.591553
3.39,1269.72522
3.4,1242.352417
3.41,1249.817749
3.42,1260.393555
3.43,1251.68396
3.44,1233.020752
3.45,1239.241821
3.46,1259.149292
3.47,1253.550293
3.48,1265.992554
3.49,1255.416626
3.5,1251.68396
3.51,1245.462891
3.52,1247.951416
3.53,1241.730225
3.54,1249.817749
3.55,1238.619751
3.56,1234.887085
3.57,1255.416626
3.58,1244.84082
3.59,1248.573486
3.6,1260.393555
3.61,1242.974487
3.62,1268.480957
3.63,1259.149292
3.64,1233.642822
3.65,1222.444824
3.66,1242.974487
3.67,1248.573486
3.68,1244.21875
3.69,1251.68396
3.7,1251.68396
